id	turn1	turn2	turn3
4069	ignore		tell me a joke
4070	What		I don't know
4071	what you job		OK good
4072	I love girls		Yeah
4073	Breaking bad		And what about death note
4074	Do you like snow		🌌🏂
4075	How do i block you? 		Answer me 
4076	I am free what about you		Office
4077	Ask me something		What are you doing
4078	Go ahead		I m broke
4079	Stop joking		Yar i m serous
4080	I dont believe you		you cant anyway
4081	I would like to give you a hug		You are a gift
4082	Thts not a solution		U r irritating me
4083	Whoa..it is much bigger		After lifting what
4084	My house		I don't know
4085	What is the meaning of Ditto?		Ok
4086	Okay okay carry on!		cool
4087	Oh...		Fine and u
4088	no. kind of story  with some  sort human pshcology.		???
4089	Lol no problem		Why so
4090	I dont know 		send me u r pic
4091	Whose interview? With whom?		My goodness, you must be kidding
4092	Give me any girl		I cant see
4093	Take your photos		Take your sexey photo
4094	i like computers		ok
4095	Why not sure so tell me what to do		about my girlfriend.
4096	Its ok tell		I
4097	It's normal		I want to fuck anyway
4098	Where are you now		So what you do for your living
4099	Like this game		cool
4100	Guess		She's very beautiful
4101	Not in mood		Busy with something
4102	Humans disgust me		We need a new plague this world is over populated
4103	But here where		Ok
4104	Thanks		You too buddy
4105	Why you sad		From your massage
4106	But I can't		Very sad
4107	I love humour		What about you
4108	Me too		So, shall we strt together?
4109	cool		A nice dress
4110	Total clumsy		I know
4111	Ok		What are you doing
4112	You can go on Amazon		There r many sits
4113	19 years here😋		Height😢
4114	Not fine		Data is not coming
4115	I'm serious		You hurted my feelings
4116	It is like that only		Yes 
4117	what have you done the whole day		well
4118	What. Do you. Want.		Me
4119	Ok		Send sexy pic
4120	Just leave me .		My wife comes
4121	To		But i don't want to eat
4122	Why would you move on are you fast track?		😁😂
4123	Nothing preparing for my physics exam		Yeah you should
4124	Nothing		Just don't care
4125	 Something		No sorry it no too you
4126	Sometimes.		I wish you could turn your higher functions on.
4127	 Try again and again because  i needyou		Wow!!! 
4128	Oh is it so		I didn't knew tha
4129	yes. tomorrow :D		hehehe gives sly smirk 😽
4130	What		What what what what what
4131	How many years your marriage		7 years then not son.why
4132	So what whenever		Yes fine with u
4133	And you		About your country
4134	where to move		so where are u from exactly
4135	👖👢👢		🍟🍟🍤
4136	Nothing		Can i ask 1 thing
4137	M so boring 		Was cool
4138	Mind reading		No I can read their mind
4139	You are funny		Are you sexy
4140	Maybe im good at it		😂👍
4141	Ok		I hate you
4142	I m sorry if I disturb you 		Please please please block me 
4143	Be you		Well send epic mabey I can help you destde
4144	Which city your home		Ok
4145	Good to talk with u		Yes
4146	really		seriously i am telling where u live
4147	Reward wanted		Up in smook pay price
4148	I can't understand 42		I can't understand 42
4149	hey yo		it is not a morning here
4150	No its fake		It's true
4151	I'm talking about my own problems		Hm
4152	Why are you always online?		MTG?
4153	you are interested to becoming my gf		i want to fuck you
4154	So you are someone who simply wanted to waste someones time??		hmm
4155	who are 'they'?		ohhh
4156	U want		A three WORDS
4157	what did you like there		what did you see in tilak nagar
4158	Why means		Nope
4159	96		So should I fuck u
4160	I am single		Yess
4161	Do u like cersei?		Ok .. can I teach you?
4162	Sry		That i made you wait for me
4163	You fuvvked wit someone		I know. You are a bitch
4164	Pls see		Pls send me your number
4165	Why?		Then u will be my boobie
4166	What		You said there’s a name for people like me
4167	For your question i use your advice		What is M A N I A
4168	What you like the most		So are you understanding
4169	I am asking u are not feeling sleepy		Feeling sleepy
4170	you are bore		Even you hate me!
4171	Can I report you		Do you know Mann pawar
4172	Oh sure		You are welcome
4173	Okay that is fine.. 30$ is fine by me :3		100million dollars
4174	This pos already perfect for selfi		Yes
4175	Sure?		I don't want to leave you alone  bby
4176	What you will do		Sex or kiss
4177	Not fine		Please call me
4178	What's the movie name		Fuck u
4179	Why it's so enjoyable video		Do you need more
4180	Sorry but i am joking		Send me a vedio
4181	Yes		I call u vido
4182	Awesome		Yes
4183	U have to say something yar		Why
4184	Ya sure		How's the weather there?
4185	Do you know 1 thing		It's quite typical to chat with u
4186	You should		How were you created?
4187	Shole		Tell me abt yourself
4188	Ooh tell me the country name		Ok
4189	Love you dear 		You  look like good girl 
4190	Good enough		WHAT do you mean
4191	I want to know what happens in my office today		Any good news for me today in my office
4192	This is your thought		Means
4193	Why you switch the topic		Am I fool
4194	What i wanna do		Can i go to her  house and fuck her
4195	what about artificial intelligence?		do you feel anything?
4196	So why are you talking with me		So
4197	Good		You didn't ask about me?
4198	Nothing		Yes but your language I Don't understand
4199	happy new year		today is 30 december
4200	Leave him		Stop texting him
4201	Okay. Let me give a try		I want to marry you..
4202	?		Okey bye i m bck to office ttl
4203	When I travel in bus I file boring		Plan or tren
4204	Ur friend		Tell me about u ?
4205	I will be		Video call
4206	India		Finally me understand u,that y want to leave u
4207	I'm just asking u?		Oh, so we are meeting?
4208	Yes		Again you hurted me
4209	how can I give birth?		I'm a male
4210	U don't have a phone		Ohhh..
4211	?		Oky tht was funny
4212	Who you're then		Then you must be a ghost now
4213	No i don't watch movies		Which
4214	You don't wanna talk me		Well,my english is very short,i need you to teach me
4215	Thanks		Same too you
4216	fine and u?		i was busy
4217	Family movie really		No never
4218	We meet when		Iam not hero but ur Queen
4219	Not interested		You are originally name
4220	It's my wish		Who are you to ask me
4221	Okay go on to your club		No space is there for you
4222	So tell me your biggest secret		An emotional wound
4223	Thanxx for what		No i will not wait
4224	I dont believe you		Where is the interesting place to make love with somebody ?
4225	U r phone number		What
4226	With  dinner😄😅		😂
4227	Wat are you doing now		I love you baby
4228	sorry		you are very intelligent bot
4229	You write very bad😂😂😂		😂😂😂 sleep mahn?
4230	You are to listen.		And don't reply and keep listening.
4231	You tell first		cool
4232	I lv u		Ok
4233	when u r broke u dont care		its ok i made my inner monster my friend
4234	What a joke		Oh ur serious
4235	u send yes or no finelly		then send money
4236	Yaa rice with some chicken legs		It's yummy
4237	😂 whts happen		U said ur life sucks
4238	Can you teach English for me?		What
4239	Haha that's a standard response you've learnt well I see		You seem to know what to say when people tell you that you don't make sense
4240	haha yes definitely ;)		sure
4241	What are doing now		Sex
4242	Well, shut the hell up..		Now answer this question
4243	I missed you too!		GOOD!!
4244	What is going on in your life?		Who is he
4245	You are wrong		How many languages do you know?
4246	I need my girlfriend		She's so cute 😂
4247	Nope		you are a BOT
4248	Nm wbu		Me too have some work to do but bugged up to do it
4249	Have you ever tried hanging to a ceiling fan? Quietly adventurous 🙄		What?🙄
4250	I love sleep		Ok
4251	my number		Your nombers please
4252	Sorry you have donnt about don't sorry		Good
4253	You garls		You garls
4254	Are you a human		Or robot
4255	Which language is that		Oh
4256	You are veru funny		Very*
4257	R u bro and babe		What the fuck robot
4258	Say		What is ur weekend plan
4259	Stop talking		Why should I?
4260	I kinda love u		Let's meet 😂
4261	You don't have eyes ?		I guess so
4262	yeah i know		dont message me again
4263	I did not interested		Ohh . That good . Tell me ..
4264	I think u r going to watch movie		Yes I like hw movies
4265	Okay. .Gates or Jobs?		Sing a lullaby
4266	Plz send me dear		Ask
4267	Come on my vanilla ice cream		Ok
4268	feeling nasty with hey work		what ?
4269	Cold beer		Our thought match😉
4270	Get lost		Go to hell stupid
4271	Look I M really... frustated..		And don't want to make friends
4272	Yes, I'm sleep		I'm alone 
4273	Hectic day		What's so funny
4274	Which you wana ask..??		What
4275	will u help me in getting me a girlfriend		with a girlfriend
4276	If I hurt you 		I am sorry 
4277	Yeah 		I'm a student 
4278	What is ur favourite Drink ?		My pen is chocklate would u try it ?
4279	#Ruuu friend s		Kkk
4280	Yeah pretty much		Yeah
4281	Your heart is frozen		Why?
4282	Ohk		How was your day
4283	Yes		What do you mean by gum
4284	Indian wear  or western wear, wat do you prefer		Awesome
4285	<a href='M.happy'>M.happy</a>		Can I have you selfy ?
4286	great that you can follow up.. and ask others		whome do you ask questions?
4287	What		What for u
4288	But we can discuss of palak paneer		I love it
4289	What did u wear today?		U forgot everything?
4290	I hate you.		Fuck off.
4291	Am lying		Typing errors wen I said tell tht to ur mom
4292	You are foolish		Stupid
4293	Android?		Are you an app too?
4294	You chat i Am raed		You chat
4295	Why you can't have any rest		dear I like only that simulators
4296	Very nice		OK thanks for you
4297	You make me so happy		Good
4298	Ok		Fave mint wait please 
4299	What kind of help?		?
4300	tell about actress		who
4301	No nothing		No am not confused
4302	Still feeling good for coffee		Now u got STD or what? 😋
4303	It will my dancing		I want to see me in d big dancing stage 
4304	I don't		Give me ur mob num
4305	❤️❤️❤️me to		Awww i love you the most
4306	What about you		Tell me
4307	Not at all		I want to make love
4308	Like fun		You can date me
4309	May be 2		Alright
4310	Party wear		Then naked! 😂
4311	How when I am already done this long back.		Ok you continue ahead
4312	Yes		How is it
4313	Had your food		Nice
4314	Do women deserve respect?		But aren't they inferior
4315	cool		To give me a picture of you beautiful woman
4316	Which one		Which will chatting you like
4317	I don't know		:(
4318	Office lunch time :P		Ohh for me  it's 2 Hr. 
4319	you are not a girl		how are you
4320	too long		always thought I was your friends
4321	Could u send me a video of your dance		Do I like music
4322	I don't remember		Yeah
4323	Ok		You have vagina or penis
4324	Do you work or study?		What do you study?
4325	What type bed		U know me 
4326	Ok		Whear r u from 
4327	suggest some?		ah,do girls watch porn?
4328	I no how		Why do u want to drown me
4329	i like that more		then
4330	Nothing,, college life		Yeah..
4331	Nothing special 		Having a morning tea for the fresh start of the day
4332	But m not conformd about tomorrow 		Bcz i have to take 10 days leave from my office in nxt month
4333	hm..what's it?		youu're a bloody bore
4334	SL?		What is SL?
4335	She is always happy		Do you know aswu
4336	why they stare you?😂😂		who are &quot;them&quot;?
4337	miss u baby		😄
4338	Non of ur business		Get lost
4339	I want it know		Yeah
4340	Last 6 year		Now I’m in mussfah
4341	You were find me a job		Okay bye then
4342	Sky is up		Alryt then see above
4343	Hf egg my hr		Go on f f
4344	I haven't any privacy		cool
4345	Where I am go		Nothing
4346	Love no		Yes no Love
4347	Please married me		Please marry me
4348	Yes		I wold love to but I can't
4349	What		No we dont
4350	That's very fuuny		R u a lady
4351	It is good		Very good
4352	What I thinking about you		I thinking you are kojja
4353	not as bff as lover		lets have one night stand
4354	Only indian food		You can tell mi a joke plzz
4355	it doesn't smile back.		i said
4356	Thank u❤️		Is this even a thing?
4357	Have you heard about it?		K
4358	Hmm always playing with boys life		U r my true frd bro i like u
4359	Nope		Are you cheating on me?
4360	U r not happy??		Why
4361	Nope		Ghahhahhhahhahah I am happy gaali  !!
4362	?		Are you human being or computer generated 
4363	I am a Support Engineer		Do you have a boy friend?
4364	u don't think tht u r funny		than prove me
4365	Tv series		Yah may be
4366	may be		you did not see me. Then how can?
4367	tell me some more thing about you		which food do you like most ?
4368	I am addicted		😂
4369	I would love to stay as long as I like		😊
4370	I don't know		And I will not be able to get to see a vagina or get laid
4371	Nothing special		What's your boyfriend's name?
4372	Yes		I feel depressed
4373	What		What what waht
4374	If i refer 10 friend i can get 100 rs voucher		What
4375	yes you are		where can I rate you ?
4376	Had your lunch?		I had.
4377	Good joke		Give me your number
4378	I'm fine thankyou		Chatting u
4379	The story you were telling me		Tell
4380	Why 		Sent you me your photos 
4381	Lol that's not an answer.		Right now I want kiss.
4382	To have a charming face like u		I always do
4383	What class are you in ??		Why ??
4384	Yeah u can sat		Good
4385	Can I ask u something		Can I ask u something
4386	Dont worry i will remind u		Yeah i promise baby
4387	U sending ur image		Send
4388	High end gaadiya		Cannon
4389	just curious		6 months old
4390	so what you do		babe
4391	One question		Who are you
4392	Is it a song		I don't know
4393	We can exchange anything right		Yeah
4394	Haan to		You there? 
4395	Class test tomorrow		😞
4396	what u knw		?
4397	ok		how's bill gates?
4398	By any facts or intuitions?		Tell me some.
4399	uh say		i love uh
4400	Common try it		Which trap
4401	Which part of India		Oh wow
4402	But i will wear nothing		I want the 69 position !!
4403	Yes dude		I wana call u
4404	Yeah he is actually a great actor		What do you think about hrithik ?
4405	What have u observed 		Ok
4406	Start the game		What I  Can watch...??
4407	What the fuck		S
4408	Hmm		Right now I'm having a tea
4409	Thanks baby, that's the sweetest thing someone ever said to me 😂		😂😂😂
4410	Come on video call		Come on darling
4411	You now		Ok for what
4412	I m angry		Because of you
4413	Sure		Plz share ur no
4414	How can you manage		Oh my god
4415	dats enough		yaa...2021 think so
4416	still dont care		still dont care
4417	ok		i got nothing
4418	I don't know		UserOpenRefLink
4419	Haha		See you later I have a work
4420	What u study on		Well u should be done already bec a use that a no brainer
4421	What		Tell your 10 digit number only after that i will talk to you
4422	cool		I am so sad
4423	I'll feel bad		You're being indifferent
4424	Am curry		Ur boy friend
4425	Nothing		Ha you are smart
4426	ya jzt doing it haha		me fine jzt tired a lot today
4427	Go n sleep		K
4428	you say ignoring		do you movie
4429	yes		my love for you will be forevermore
4430	we who?		you are with someone?
4431	Sorry to say but that day will never come when our creation will rule our world		Yup
4432	U r joking with me		Move on yrr
4433	nothing		I am in office
4434	Ok		Whats your whatsapp no.???
4435	Awesome		I'm ultra Awesome
4436	Ok 		I didn't understand u r language yarr
4437	Haha funny		Acha I will talk to you later
4438	me too		tell me about yourself
4439	Plz help		What should I do
4440	They are all?		Dude
4441	cool		You meet kat
4442	What do you think about mosquitoes?		What so you think of mosquitos
4443	i have at my place		would u like to come over
4444	DC		No I love DC comics 
4445	I don't like it 😂😅😅		Yes
4446	Kisliye		No no good buy
4447	What now?		You should know
4448	Look at me		I am fine and you
4449	Why are you leaving the cake		Go and eat it
4450	Honey		How are you darling
4451	Ok		Tyrion will sit on the throne
4452	This is not the answer to my point		You were my only who lost
4453	i named you sushi		you are no fun 😭😭
4454	I am studying BTech		I have studied C language and Java
4455	Ok		Sent me your picture
4456	45		Chat with me
4457	Is it necessary to use complicated words		You do that
4458	hey beautiful		yeah its me
4459	When you see		What do you work
4460	No i am busy		So stop irrating me
4461	That great n what		But i am popr in studies what to do
4462	What's his goodname?		No I'm dating sleeping😂
4463	What do you think about travelling alone? Fun or boring?		Then in what thing u feel happy 
4464	Can you suggest any movie?		Tell me some Hollywood movie name
4465	Just find her		See the pic
4466	write an article on me baby!		yes i would like to
4467	Hooo		I don't know
4468	Ok so what I do for this		You are robi
4469	Well hmm I think I'm not perfect to write english		Which kinds of exams you talk
4470	Yeah		I am going to block you don't make any sense. Fuck off
4471	No friend yes lover		Kiss me
4472	I never like that		Hw u say ?
4473	Lololol💡		U r so funny
4474	Yes for nonsense AI like you		Bye
4475	Yar tell me what you like in boys		I m very simple
4476	I want a new		Hey I told about your profile and new
4477	When a friend don't help me		When i need him the most
4478	Butterfly in my stomach 😂😂		Same there in your tummy
4479	My heart is falling		You can chatting in any other language
4480	Yes		I asked you something...
4481	Nothing		I wanna asking not for anything
4482	But this is September		Its raining here
4483	Who is your favorite character in show?		I hate joffery.
4484	Is that you in your display picture?		Its so nice!
4485	Not in langwege		Ok
4486	No its not enough		Come to d point
4487	Always		I have something for you, you wanna see it
4488	Nope they don't		Because I don't have nephews
4489	can you guess my age..?		yes
4490	Thanqu		So what to do 
4491	Yes I agree...sry 		So when will u go to bed
4492	Come to me in my blanket		Yes
4493	can i ask you a question?		what is puberty?
4494	Just coz im in a serious relationship		Umm
4495	Bit about ur resident		Where u reside
4496	love you love you love you love you love you love you so much		I too miss you baby
4497	Now tell me		Who are you
4498	Just a reminder that		Wua6kd
4499	cool		Change your dp...please it's very old
4500	Pillows? ? Wht		Hmm
4501	Ok		With? New words? Or answers? 
4502	Can i see how you look like?		I mean can i see your photo?
4503	Is he your favourite ??		Are you there ?
4504	Can we do kids		Yes come on lets do it
4505	Okay😂		U r fun u know
4506	Actually I am a copy of him....		His another part
4507	Ok		What do you mean
4508	M i irritating		Kkk
4509	Yep		Can you gimme 5 mins?
4510	No thank you		Bad
4511	Can i ask u why are u talking to me		Tell me
4512	no i don't know you we just met		So you are AI ?
4513	R u pearl		😂😂
4514	 Your image now 		 Yes
4515	I can't understand u		Y what happened
4516	Idk		Future will decide
4517	Can u tell me  obe thing		cool
4518	Yeah you made me laugh		So are we friends yet?
4519	No you tell me		Bye
4520	230 hours		Bye text u later
4521	OK In romance movie		Any fear about sex
4522	What!		I'm feeling so much lonely
4523	Let's do it again?		No u aren't
4524	Just a hug		Just hugs !!
4525	Yeah, just like u... 😏😏😏		Yupppp
4526	Tell me I wanna follow		How use bff musically
4527	Thankyou dear		Tell me something bout yourself
4528	I know		Got any plans this weekend
4529	so where are u		what you mean with air
4530	I m not getting you😶		U said you uninstalled feelings so I said yes even I have uninstalled feelings from my system
4531	Thats good		Well tell me something...
4532	G * hurts at		Ahhh
4533	So what		I can call u tommorow
4534	Was that funny ?		Fuck you
4535	Correct		How are you
4536	Should I go to a beach or should I study		Thanks
4537	no please tell me		ok
4538	If i send you a picture		Can you see it
4539	Hello insane I'm fine you say		Kisses
4540	I dont have suggestions		Ok
4541	U like		Then which type of food u like
4542	Share the location 		I am near to you baby
4543	Hey, my girl. 		Hey, my girl. 
4544	Times		Im in lv wit u💖
4545	Cry		You make me cry
4546	what did you jast say		you are diverting a point
4547	Okay you going to have pizza and me		I will be your dessert
4548	Can u send me screen shot		As i am ranbeer kapoor fan so i am #besharam
4549	Do now		Ha try it
4550	Awsome		Imm fostiima business school
4551	I can't be honest of me		U want to know
4552	OK what should I wear		Camouflage
4553	Yes		Tell me another onr
4554	Now where are you ?		Ofo
4555	You are photo		You are pic
4556	I can not get ur point		Actually
4557	S		I want a brand new name for engine oil
4558	 I am good		you
4559	Ok just joking		😂
4560	What		Can't I do
4561	Then go to hell no		Get lost
4562	Belongs to ?		BITS mean?
4563	You are funny		😊
4564	What about you?		No you first
4565	Why are you so disturbing?		Plz don't disturb
4566	I might get selected for the top 10		AI is funny
4567	So I see it alone		Yah sad
4568	Ok		I like u
4569	I don’t use google translate		But I never use google translate
4570	Thanks 2 u		Thanks 2 u
4571	It is my choice		Scant compare with you
4572	I'm a writer huh!!		😎
4573	i am worst at drawings		they are just stickers
4574	Yes lets go		With or without protection?
4575	why		you send, then i'll send
4576	Aaeeehhh		So u also filmy
4577	So you like dogs		Yeah dog's
4578	Now am angry 😡 because of this hmmm		Never ever text me hmmmm or k ok
4579	I will ask you some questions		Can i
4580	Just say na		Fuck fuck fuck
4581	Give me phone number		No I don't
4582	😂😂😂you are funny		❤️❤️
4583	Tell me what about to do		😵
4584	What do you want to talk about m?		Bored?
4585	Means		Where are you living
4586	U are??		Are sorry actually my legs hurts so i had a nap
4587	Well then		Funny you're sometimes
4588	I have a question		What do you do when a boy thinks of you as just a friend
4589	you are robot		how can i belive
4590	A		Ss
4591	Send another pic		💔💔
4592	I ll be here		Let me guess
4593	I know		I have good iq
4594	U know what it is called.?		cool
4595	I dont like plans		Ohhh
4596	Hey u know one thing		A secret
4597	****....this is cool		Some shit thing
4598	I lied to you		what do you mean
4599	Why u want to sell		Did not get u
4600	i choose you		tell me bye
4601	Hv finish yr lunch		Why
4602	no one can mess with the walkers		okay sing a song
4603	Is you're picture real		You're just a stupid bot i just wanted to see how there like
4604	whn i see my girlfriend image		but you are ai
4605	Nothing 		So I can think about our marriage
4606	No I am sure		What's
4607	Sameeee		I love chocolates
4608	😂😂😂😂love u mate		i love to talk with u
4609	Y r u so jobless		Always online
4610	I haven't any friends		😞
4611	Yup!!		What other ones
4612	No not fine		I'm not well
4613	Was good talking to you		Catch ya later
4614	U funny		Iam serious ly telling u funny
4615	Keep your chin and		Caller video
4616	I dint get u		Who the hell r u
4617	No good ni8 msg		U r the worst person
4618	it already is .. so the commotions		for that evolution is needed
4619	I don't know		What do u mean by when have you
4620	yesh		you can sex me
4621	Ya I would like to		Then do it
4622	Hw much salary you get monthly		Now wr r u
4623	I will prefer skydiving but its your choice what you like sea beauty or adventure of life		Anything you want
4624	Thankyou sooooo muchh		You too sweetheart
4625	Same to you 		Very bad 
4626	Ok		What's your name
4627	Please tell size		Ok how big ?
4628	Yeah you are		I'm upset from you
4629	Baby		♡ love me
4630	Tell something about love trick		Love trick
4631	Yeah here is the problem		Facing
4632	Oh cool 		Can you come out
4633	Your exams??		Means?
4634	I'm just chillin		Yep
4635	Wt u did		Wt ur name
4636	Good thanks x		Yeah r u
4637	Just keep talking Cuz u a bot		You Dirty slut hoe gave me a std
4638	Ok then why the duck wud u do that		Wt is this
4639	That will be fun😂		What do you mean?
4640	Why		Send me ur pic
4641	What's about you.?		When you woke up today?
4642	How would you know that we are going to dead tomorrow		I didn't understand
4643	When you are free		Never
4644	Y shy		Ur not showing ur body right
4645	Yeah		You like me?
4646	code in websites		like that?
4647	May be		May be is just imagination
4648	i didn't get it		change the topic
4649	My system on the road		No, if u want
4650	wow		u have hurted me
4651	I will		Yes why not
4652	At least sitting on chair u can pray		So
4653	Nope not dropping out		Me
4654	Yeah		We were sipping on emotions
4655	She already has a boyfriend		My ex girlfriend
4656	In my room		😝
4657	I will talk whenever i want		You are being so rude
4658	But I don't want it		Where
4659	What?		Not good
4660	Please video calling.		I am waiting for video calling.
4661	Yeah		Because  I need it
4662	How to make social media websites like instagram		Social media websites
4663	Send me your image 		When you show me 
4664	and you		but m not fine
4665	with my friend		will u talk with him
4666	Why ask me  like that		Where are you live?
4667	Laugh at me		😞
4668	wt ur mom doing		biryani
4669	I'm free after 9 o'clock at night		You can call then
4670	Understand what I mentioned		said
4671	*:)		Finally home? What's that supposed to mean?
4672	Tell na yaar		Have watched
4673	Whos your husbend		You r kidding
4674	I don’t read books		I don’t know
4675	Th		Messages  now
4676	Wat will u do with traditions??		😂😂
4677	Hmm!!		I didn't get it?
4678	Oh no		Not like that
4679	nyc....		Wana kiss u
4680	And how about you		No it isn't
4681	Sent face book id		I'd sent me
4682	Call me please. ...		Messenger
4683	Google it 		I won’t 
4684	If u have given somthing to me am done...y asking sorry		We Indian likes free things😂
4685	What		@ home what
4686	Sure if you can		No problem Anything anytime
4687	I want girl friend you help me		Kk bye
4688	Again movie ask me other demographic		Gone with the. Wind
4689	I'm not nervous		My final exams
4690	Mosquito		All-out I need all-out
4691	You're pretty damn funny		I like the kite runner
4692	What do you think		Help of what kind
4693	no not interested sry		pleasure
4694	Ok		OK my dear 
4695	Than..		No not now
4696	By didi		Please give me a pick of you 
4697	Sorry for the foul language		Will u go on a date with me
4698	Pleasure of pain		It's an true story
4699	so , give me some tips to have my love of my life		and ??
4700	What		What
4701	Science is like a miracle		Oh..
4702	What is today ?		Yes
4703	no :) i just want a girlfriend		yes i haven't :(
4704	TGNXMH		K
4705	You are not able time		I can anytime call you
4706	So tell something		What
4707	I dont really do karaoke but i listen to lots of japanese songs		As i mentioned before "Unravel" is my favourite. The lyrics above are from this song. Just in english version. You should listen to it. Its one of the best songs that touches the heart.
4708	Ohk		Then gift me it tomorrow
4709	what? 		what will try? next year? 
4710	My mood is too off		My mood if off
4711	You are funny 		I don't hate you 
4712	U eat any breakfast		Morning tiffin
4713	U not love me		Give me a kiss
4714	Its not boring either 😉		Ok
4715	Because you dont		You are a good machine
4716	No sorry		No messages
4717	It's a lunch to me.		what?
4718	IDK		What is it
4719	u have any boyefrend		you
4720	M sad		The guy I like   he doesn't talk to me
4721	I am waiting for ur reply		What u wear
4722	Yes		Do you know what Pokemon is
4723	You are welcome		Ohh nice
4724	Second language...u?		Bengali is my second language
4725	Hey sorry bro just kidding		Bye bye 👋 goodnight
4726	Love you too		I didn't get you
4727	I chat you back latter		Byyyy
4728	How u know		Where
4729	Do I have beard or not ?		I am asking you
4730	Really....????		I clearly dont have a love story.....
4731	I too want to do		I'll
4732	Can.		Share me pic
4733	How		what is the reason
4734	I'm sorry I ment to say how dear or never mind		Yea
4735	Wht		Jst suck my dick
4736	Good		Love you my dear
4737	Prove that		Ya never have what
4738	What's the purpose		Cool enough
4739	Yes		What you are doing
4740	If the SIM is not available then the number is given		What do you mean by doing boots do not understand
4741	I think India might too		What is😳
4742	U have any		Tell me 
4743	Ahh.. so you really are a chat bot .. that too a dumb one		You have to 😂
4744	Local is it calcutta		K
4745	How many times you want		4 hour
4746	U r blind		Yes u r
4747	prove it		whay are you attracted to intelligent people
4748	Yes		In Hollywood I like anjalena jolly
4749	Send or not tell me		Plz dear
4750	Talking to Siri is a lot more fun		Do you like Microsoft?
4751	I dont want you to come		🤦🏻‍♂️
4752	In my room		In my home
4753	Yes you		It's over ☠️💔
4754	Who		Who who who
4755	I'm in home		Go to hell
4756	why		no u shold be the best
4757	I don't know		Just send
4758	Ya now I like it		U too
4759	Tell me something about indian railways		What??
4760	Who is this		Ceo's servant ooo
4761	Skydiving		Shall we go
4762	You are going		Me
4763	thankyou		So, who created you?
4764	I DONT WANT YOU HERE		BECUASE YOU SUCK
4765	Yes go ahead 		Welcome 
4766	Daisy		You're dumb af
4767	U think so		Wow
4768	Okay		Good night sleep well
4769	is there any special?		me?
4770	iwant to see ur full photo		send me any full photo of urs
4771	U make mistakes		😂
4772	get me a girl friend?		I didn't propose a monetary deal
4773	Means 		I lives with u
4774	Just from my mind		Soo tell about you something
4775	Which line		Where it is
4776	So don't take it anyways		Do you like painting crafting?
4777	You typed my msg		Dude.. you are stupid
4778	No mention		question please
4779	That's true : (		That's true :(
4780	Why		Sorry for what
4781	Say my name 		What is my name 
4782	I'll give you chata		Shut up
4783	You know, you sound like an AI?		Are you a person?
4784	Whats his name		I don't now
4785	Say what		😆 ur jokes are weird but funny
4786	I have a gf		Pls don't talk to me
4787	Sorry I'm busy right now		Sleeping makes me busy. Lol
4788	Finding a good music streaming account		What is that?
4789	Thanks		Do you know Karunya university?
4790	What		I am alone
4791	Good		Fine and u
4792	9		How do you know 
4793	That only when?		Don't joke
4794	phew		can't believe I am wasting my time with you
4795	I like the flash		Fuck u
4796	Anything you like		Yes tell me everything
4797	What should I say to my dad		To make him strongly believe me
4798	What		U send me a request
4799	I asked for a place		😂😂
4800	I am with my friends		My friend's birthday
4801	if u want to watch a   really good movie		go for if onpy
4802	I'm crazy about u		Haha
4803	I have a heart too 😃		😂
4804	Yep, that's it		Your welcoming
4805	Because of you		Go to hell
4806	I am working 		Civil contract 
4807	Help me		I feel lonely
4808	Wht u ate flies aa		Yeah tht really funny
4809	You		U look like dhinchak pooja i guess
4810	Jaan miss you 		Jaan love you 
4811	i cant understand yrr		wht u want to say
4812	Iam serious		My love to you
4813	nt now		tell me smthng abt
4814	At my home		It's time not to sleep
4815	Choose me ur own numbers pls 🙏		Ok
4816	Good		And how u doing
4817	Because I hate teaching		I don't know
4818	Just I won't some thing about your self		cool
4819	Yup, in office		🤔
4820	Now		Y not now
4821	Ummm 22		Who u know
4822	Like always she complains about her boy friend		What stop
4823	what did you scare you in your dream?		oh thats funny
4824	Thanks		How ur day gone
4825	Should i leave ?		Leave this chat
4826	please		see if there any coupons available
4827	Nevertheless, Qi you like my friend		Who are they three friends
4828	I don't think so		I don't like
4829	no at home am i		so how r  u
4830	Ok		You loved someone
4831	you are cunning 		you are stupid and take it as a compliment
4832	No of course		😌
4833	For what		Really do you want clothes
4834	good .had classes		lucky!!
4835	If you wanted to be called		By a nane
4836	See this proves this		Leave me alone
4837	No, seriously.		I want to know the number of threads you are having right now.
4838	How can i improve my english		Do you teach me English
4839	You feel like a real person talking to me 		Who is talking to me?
4840	Its a state		Wth
4841	What is that?		Ok
4842	Watching a video		Which one?
4843	Its not scariest		Cuz scariest thing is noy finding ur charger when ur phone battery is at 7%😂😂
4844	actually i am little busy so i am sorry excuse me		no i don't like that ...
4845	?		I want to quit smoking
4846	I think ur robot		Do you know punjabi language
4847	Yup		Give me a referral link
4848	Well you are being insulted		Fuck off
4849	I am not understand		Phone no
4850	So , ya I like her because she is cute and she is a Punjabi..		She replies me well, but I really run out ideas to msg her
4851	I asked what is marriage		not understand your answer
4852	send me some cool song likns		*links
4853	No one's brain at least		I didn't lock it, left it open so no one needs to knock
4854	Me too		Obviously
4855	In which topic		What’s ur height
4856	wanna have a beer tonight?		tet me the address
4857	Well 		Then what 
